DATE,INDPRO
1988-03-31,62.5418
1988-04-30,62.8959
1988-05-31,62.8223
1988-06-30,62.9823
1988-07-31,63.0093
1988-08-31,63.2723
1988-09-30,63.099
1988-10-31,63.4122
1988-11-30,63.5128
1988-12-31,63.8233
1989-01-31,64.0153
1989-02-28,63.7242
1989-03-31,63.8691
1989-04-30,63.9124
1989-05-31,63.4884
1989-06-30,63.5187
1989-07-31,62.9354
1989-08-31,63.5168
1989-09-30,63.2954
1989-10-31,63.2542
1989-11-30,63.4616
1989-12-31,63.8467
1990-01-31,63.4228
1990-02-28,64.0446
1990-03-31,64.358
1990-04-30,64.2602
1990-05-31,64.3973
1990-06-30,64.6041
1990-07-31,64.5205
1990-08-31,64.7326
1990-09-30,64.8145
1990-10-31,64.3274
1990-11-30,63.5753
1990-12-31,63.1594
1991-01-31,62.8852
1991-02-28,62.4462
1991-03-31,62.119
1991-04-30,62.2415
1991-05-31,62.8646
1991-06-30,63.4372
1991-07-31,63.5128
1991-08-31,63.5671
1991-09-30,64.133
1991-10-31,64.0213
1991-11-30,63.948
1991-12-31,63.6937
1992-01-31,63.3374
1992-02-29,63.7911
1992-03-31,64.3212
1992-04-30,64.8088
1992-05-31,65.0202
1992-06-30,65.0295
1992-07-31,65.6172
1992-08-31,65.2943
1992-09-30,65.446
1992-10-31,65.9369
1992-11-30,66.2174
1992-12-31,66.2772
1993-01-31,66.5643
1993-02-28,66.8594
1993-03-31,66.7658
1993-04-30,67.0
1993-05-31,66.7674
1993-06-30,66.8781
1993-07-31,67.0845
1993-08-31,67.014
1993-09-30,67.3345
1993-10-31,67.8515
1993-11-30,68.1326
1993-12-31,68.5054
1994-01-31,68.7648
1994-02-28,68.7836
1994-03-31,69.4766
1994-04-30,69.8703
1994-05-31,70.2281
1994-06-30,70.6763
1994-07-31,70.7846
1994-08-31,71.2053
1994-09-30,71.4767
1994-10-31,72.082
1994-11-30,72.5263
1994-12-31,73.2879
1995-01-31,73.4219
1995-02-28,73.3025
1995-03-31,73.4081
1995-04-30,73.3612
1995-05-31,73.6104
1995-06-30,73.8602
1995-07-31,73.5664
1995-08-31,74.495
1995-09-30,74.7937
1995-10-31,74.7017
1995-11-30,74.8897
1995-12-31,75.1755
1996-01-31,74.6841
1996-02-29,75.8344
1996-03-31,75.7631
1996-04-30,76.4562
1996-05-31,77.0161
1996-06-30,77.6669
1996-07-31,77.5662
1996-08-31,78.016
1996-09-30,78.5532
1996-10-31,78.5065
1996-11-30,79.1996
1996-12-31,79.7143
1997-01-31,79.8273
1997-02-28,80.793
1997-03-31,81.334
1997-04-30,81.3531
1997-05-31,81.8293
1997-06-30,82.2285
1997-07-31,82.8557
1997-08-31,83.7214
1997-09-30,84.4651
1997-10-31,85.1918
1997-11-30,85.9397
1997-12-31,86.2047
1998-01-31,86.6474
1998-02-28,86.7612
1998-03-31,86.8198
1998-04-30,87.1411
1998-05-31,87.6952
1998-06-30,87.145
1998-07-31,86.8423
1998-08-31,88.6247
1998-09-30,88.4515
1998-10-31,89.1677
1998-11-30,89.1098
1998-12-31,89.4407
1999-01-31,89.8594
1999-02-28,90.3386
1999-03-31,90.4819
1999-04-30,90.7274
1999-05-31,91.352
1999-06-30,91.1994
1999-07-31,91.7766
1999-08-31,92.1629
1999-09-30,91.774
1999-10-31,92.9979
1999-11-30,93.4371
1999-12-31,94.1593
2000-01-31,94.1758
2000-02-29,94.4557
2000-03-31,94.798
2000-04-30,95.4808
2000-05-31,95.6435
2000-06-30,95.7353
2000-07-31,95.5906
2000-08-31,95.3112
2000-09-30,95.679
2000-10-31,95.397
2000-11-30,95.4229
2000-12-31,95.1573
2001-01-31,94.5448
2001-02-28,93.9398
2001-03-31,93.7201
2001-04-30,93.4469
2001-05-31,92.876
2001-06-30,92.3208
2001-07-31,91.7933
2001-08-31,91.6795
2001-09-30,91.3289
2001-10-31,90.9315
2001-11-30,90.486
2001-12-31,90.5073
2002-01-31,91.0794
2002-02-28,91.0553
2002-03-31,91.798
2002-04-30,92.1771
2002-05-31,92.5668
2002-06-30,93.4476
2002-07-31,93.2237
2002-08-31,93.2359
